city,first_name,last_name,state,doctor_id,initial,specialty
Stoneham,William,Zucker,MA,42590,J,Internal Medicine
Boston,Andrea Lynn,Zuckerman,MA,42591,,Obstetrics and Gynecology
Boston,Barry,Zuckerman,MA,42592,S,Pediatrics
Boston,Carol,Zuckerman,MA,42594,J,Internal Medicine
Burlington,Deborah,Zuckerman,MA,42596,E,Ophthalmology
Boston,James,Zuckerman,MA,42597,E,Obstetrics and Gynecology
Brookline,Marcia,Zuckerman,MA,55793,L,Psychiatry
Winchester,Mark,Zuckerman,MA,42599,E,Anatomic Pathology
Brookline,Pamela,Zuckerman,MA,42600,M,Pediatrics
Springfield,Karin,Zuegge,MA,84289,L,Anesthesiology
Fall River,Stephen,Zuehlke,MA,42602,D,Cardiovascular Diseases
Pittsfield,Richard,Zuflacht,MA,42603,N,Internal Medicine
Boston,Baraa,Zuhaili,MA,89386,,General Surgery
Boston,Lawrence,Zukerberg,MA,42604,R,Pathology
Boston,Katherine,Zukotynski,MA,85245,A,Diagnostic Radiology
Cambridge,Elizabeth,Zulinska,MA,79383,,Pathology Clinical/Anatomic
Norton,Mark,Zullo,MA,42605,C,Family Medicine
Brockton,Robyn,Zunenshine,MA,61559,H,Obstetrics and Gynecology
Fall River,Xochitl,Zuniga,MA,76376,P,Nephrology
Boston,John A,Zupancic,MA,42607,F,Neonatal-Perinatal Medicine
Boston,Mary Jane,Zimarowski,MA,42495,,Dermatopathology
Pittsfield,Harvey,Zimbler,MA,42496,,Oncology
Boston,Seymour,Zimbler,MA,42497,,Orthopedic Surgery
Boston,Abraham,Zimelman,MA,42498,P,Hematology
Boston,Peter,Zimetbaum,MA,42499,J,Internal Medicine
Beverly,John,Zimmer,MA,42501,W,Orthopedic Surgery
,Paul,Zimmer,,88579,V,Family Medicine
Lexington,Andrew,Zimmerman,MA,72878,W,Child Neurology
Boston,Daniel,Zimmerman,MA,80244,J,Psychiatry
East Hartford,David,Zimmerman,CT,79121,L,Radiology
South Hanley,Erik,Zimmerman,MA,42506,E,Psychiatry
Holyoke,John,Zimmerman,MA,42507,F,Cardiovascular Diseases
Boston,Lori,Zimmerman,MA,83753,A,Pediatrics
Framingham,William,Zimmerman,MA,42509,D,Otorhinolaryngology
Nashua,Susanne,Zimmermann,NH,42512,E,Orthopedic Surgery
Brookline,Suzanna,Zimmet,MA,42513,V,Psychiatry
Quincy,Alison,Zimon,MA,59577,E,Reproductive Endocrinology/Infertility
West Roxbury,Richard,Zimon,MA,42515,P,Internal Medicine
Boston,Michael,Zinaman,MA,89359,J,Gynecology
Providence,Brian,Zink,RI,42522,J,Emergency Medicine
Worcester,Robert Burton,Zurier,MA,42613,,Rheumatology
Lexington,Peter,Zuromskis,MA,42614,J,Internal Medicine
Haverhill,Lydia,Zuser,MA,63815,,Internal Medicine
Boston,Paul,Zusky,MA,42615,M,Psychiatry
Boston,Randall,Zusman,MA,42616,,Cardiovascular Diseases
Everett,Madan,Zutshi,MA,42618,L,Internal Medicine
"Fall River,  MA",Karl,Zuzarte,MA,42620,M,Internal Medicine
Bourne,Dana,Zweig,MA,42622,F,Family Medicine
Everett,Franklin,Zweiman,MA,42623,G,Diagnostic Radiology
Worcester,Susan,Zweizig,MA,42624,L,Gynecological Oncology
Worcester,Robert,Zwerdling,MA,42625,G,Pediatric Pulmonology
North Chelmsford,Hayward,Zwerling,MA,42627,K,Internal Medicine
Providence,John Franklin,Zwetchkenbaum,RI,42629,,Allergy and Immunology
Fort Wayne,Wayne,Zwick,IN,62217,C,Geriatrics
Boston,Jeffrey,Zwicker,MA,55795,I,Hematology/Oncology
Upton,Marjorie Ann,Zyirek-Bacon,MA,42631,,Cardiovascular Diseases
Whitinsville,Samuel,Zylstra,MA,42633,,Obstetrics and Gynecology
Boston,Kayla,Zomlefer,MA,59582,,Internal Medicine
Boston,Leonard,Zon,MA,42569,I,Oncology
Quincy,Melvin,Zonis,MA,42570,H,Pediatrics
Salem,Stefan,Zora,MA,42571,,Psychiatry
Cambridge,Joseph,Zorn,MA,42573,B,Internal Medicine
Wilmington,Melissa,Zorn,MA,69433,M,Internal Medicine
Boston,Lisa,Zorn Smeglin,MA,73628,M,Radiology
Cambridge,Victor,Zota,MA,77783,E,Pathology
Chelmsford,Tanya,Zouzas,MA,64934,,Internal Medicine
Worcester,Patricia,Zub,MA,42577,L,Internal Medicine
Boyton Beach,Monica,Zucca-Tenner,FL,42579,P,Cytopathology
Wellesley,Gianna,Zuccotti,MA,91661,,Infectious Diseases
Boston,Adam,Zucker,MA,94254,J,Internal Medicine
Stratford,David,Zucker,CT,89501,K,Psychiatry
Cambridge,Deborah Rachel,Zucker,MA,42581,,Internal Medicine
Boston,Evan,Zucker,MA,91604,J,Diagnostic Radiology
Florence,Geoffrey,Zucker,MA,42582,M,Gastroenterology
Cliffside Park,Howard,Zucker,NJ,42583,A,Pediatric Cardiology
Arlington,Laura,Zucker,MA,42586,B,Family Medicine
Boston,Marcia,Zucker,MA,42587,A,Internal Medicine
Worcester,Robert Burton,Zurier,MA,42613,,Rheumatology
Lexington,Peter,Zuromskis,MA,42614,J,Internal Medicine
Haverhill,Lydia,Zuser,MA,63815,,Internal Medicine
Boston,Paul,Zusky,MA,42615,M,Psychiatry
Boston,Randall,Zusman,MA,42616,,Cardiovascular Diseases
Everett,Madan,Zutshi,MA,42618,L,Internal Medicine
"Fall River,  MA",Karl,Zuzarte,MA,42620,M,Internal Medicine
Bourne,Dana,Zweig,MA,42622,F,Family Medicine
Everett,Franklin,Zweiman,MA,42623,G,Diagnostic Radiology
Worcester,Susan,Zweizig,MA,42624,L,Gynecological Oncology
Worcester,Robert,Zwerdling,MA,42625,G,Pediatric Pulmonology
North Chelmsford,Hayward,Zwerling,MA,42627,K,Internal Medicine
